station_name,latitude,longitude,bikes_available,bikes_taken,date_of_data
Cultural,-32.88409,-68.84897,7,0,2023-12-04T22:31:13.871000Z
Plaza Independencia,-32.8895,-68.846,17,0,2023-12-04T22:31:13.883000Z
Muni,-32.897942,-68.842463,7,0,2023-12-04T22:31:13.884000Z
Terminal,-32.8938219,-68.8296553,2,0,2023-12-04T22:31:13.885000Z
Benegas,-32.9523902,-68.8537488,10,0,2023-12-04T22:31:13.886000Z
Chacabuco,-32.9163148,-68.8511836,4,0,2023-12-04T22:31:13.888000Z
Pescarmona,-32.9228551,-68.839564,5,0,2023-12-04T22:31:13.892000Z
Parque Lineal,-32.8706243,-68.8433289,8,0,2023-12-04T22:31:13.893000Z
EA Aristides,-32.8912,-68.8602,4,12,2023-12-04T22:31:13.900000Z
EA Muni,-32.8981,-68.8431,1,2,2023-12-04T22:31:13.901000Z
EA - Kilómetro 0,-32.8907,-68.8387,0,24,2023-12-04T22:31:13.902000Z
EA Plaza San Martín,-32.8871,-68.8407,0,12,2023-12-04T22:31:13.903000Z
EA - Belgrano,-32.8937,-68.8512,0,23,2023-12-04T22:31:13.912000Z
EA Parque O'Higgins,-32.8847,-68.8296,0,23,2023-12-04T22:31:13.913000Z
EA Pedro Molina,-32.8961,-68.8459,0,12,2023-12-04T22:31:13.914000Z
Bicis Eléctricas,-32.8981,-68.8432,15,0,2023-12-04T22:31:13.915000Z
EA Parque Mitre,-32.9434,-68.818481,1,5,2023-12-04T22:31:13.915000Z
EA Palmares,-32.957213,-68.859185,0,6,2023-12-04T22:31:13.916000Z
EA Skate Park,-32.931894,-68.852796,2,10,2023-12-04T22:31:13.917000Z
EA Benegas,-32.952424,-68.853741,45,25,2023-12-04T22:31:13.918000Z
EA Pescarmona,-32.924682,-68.842504,0,12,2023-12-04T22:31:13.919000Z
Parque Venezuela,-32.870709,-68.858351,3,0,2023-12-04T22:31:13.924000Z
