longitude,latitude,fs_distance_avg,fs_distance_max,fs_distance_min,fs_name_count,fs_popularity_avg,fs_popularity_max,fs_popularity_min,fs_price_avg,fs_price_max,fs_price_min,fs_rating_avg,fs_rating_max,fs_rating_min
-68.8602,-32.8912,543.79,957,130,19,0.857484,0.996233,0.024234,1.32,2.0,1.0,7.15,8.4,5.7
-68.859185,-32.957213,311.92,811,127,13,0.884112,0.988272,0.131258,1.38,2.0,1.0,7.18,8.0,5.4
-68.858351,-32.870709,913.5,927,900,2,0.71007,0.775113,0.645028,1.0,1.0,1.0,0.0,0.0,0.0
-68.8537488,-32.9523902,553.0,947,182,13,0.884112,0.988272,0.131258,1.38,2.0,1.0,7.18,8.0,5.4
-68.853741,-32.952424,551.77,943,185,13,0.884112,0.988272,0.131258,1.38,2.0,1.0,7.18,8.0,5.4
-68.852796,-32.931894,637.25,933,230,4,0.504506,0.656272,0.248083,1.25,2.0,1.0,0.0,0.0,0.0
-68.8512,-32.8937,594.75,952,252,20,0.92974,0.99887,0.090281,1.45,3.0,1.0,7.96,8.9,7.3
-68.8511836,-32.9163148,743.08,973,482,13,0.724941,0.99594,0.066298,1.23,2.0,1.0,7.23,8.5,5.5
-68.84897,-32.88409,582.25,991,164,20,0.931485,0.99887,0.090281,1.45,3.0,1.0,7.92,8.9,7.1
-68.846,-32.8895,480.0,987,136,20,0.934367,0.99887,0.090281,1.5,3.0,1.0,8.0,8.9,7.4
-68.8459,-32.8961,753.35,974,341,20,0.93136,0.99887,0.090281,1.3,3.0,1.0,7.74,8.9,6.8
-68.8433289,-32.8706243,776.6,968,507,5,0.66665,0.963963,0.311904,1.2,2.0,1.0,5.7,5.7,5.7
-68.8432,-32.8981,662.28,977,365,18,0.87387,0.996735,0.319312,1.28,3.0,1.0,6.9,8.9,5.1
-68.8431,-32.8981,679.95,998,368,19,0.87951,0.996735,0.319312,1.26,3.0,1.0,6.84,8.9,5.1
-68.842504,-32.924682,621.25,850,131,8,0.637799,0.956247,0.248083,1.12,2.0,1.0,6.5,7.5,5.5
-68.842463,-32.897942,739.58,989,400,19,0.92938,0.996735,0.441487,1.26,2.0,1.0,7.06,8.9,5.8
-68.8407,-32.8871,674.45,994,305,20,0.933934,0.99887,0.090281,1.3,3.0,1.0,7.67,8.9,6.7
-68.839564,-32.9228551,708.62,947,464,8,0.721583,0.956247,0.405052,1.12,2.0,1.0,6.5,7.5,5.5
-68.8387,-32.8907,601.84,998,85,19,0.970724,0.99887,0.804746,1.32,3.0,1.0,7.53,8.9,6.7
-68.8296553,-32.8938219,788.95,983,147,20,0.712174,0.998368,0.048091,1.15,3.0,1.0,6.17,6.7,5.7
-68.8296,-32.8847,765.0,979,391,16,0.685844,0.979533,0.169513,1.19,2.0,1.0,5.65,5.8,5.5
