bikes_total,percent_taken,fs_distance_avg,fs_name_count,fs_popularity_avg,fs_price_avg,fs_rating_avg,yp_distance_avg,yp_name_count,yp_price_avg,yp_rating_avg
7,0.0,582.25,20,0.931485,1.45,7.92,618.44,17,1.82,4.56
17,0.0,480.0,20,0.934367,1.5,8.0,398.06,19,1.79,4.5
7,0.0,739.58,19,0.92938,1.26,7.06,687.39,11,0.91,4.45
2,0.0,788.95,20,0.712174,1.15,6.17,912.17,4,0.75,2.5
10,0.0,553.0,13,0.884112,1.38,7.18,657.41,7,0.29,1.5
4,0.0,743.08,13,0.724941,1.23,7.23,830.93,3,2.0,3.0
5,0.0,708.62,8,0.721583,1.12,6.5,911.12,8,0.0,0.62
8,0.0,776.6,5,0.66665,1.2,5.7,640.02,3,0.67,1.5
16,75.0,543.79,19,0.857484,1.32,7.15,613.31,17,1.71,4.35
3,66.67,679.95,19,0.87951,1.26,6.84,710.88,12,0.83,4.42
24,100.0,601.84,19,0.970724,1.32,7.53,688.52,18,1.33,4.5
12,100.0,674.45,20,0.933934,1.3,7.67,718.81,19,1.63,4.58
23,100.0,594.75,20,0.92974,1.45,7.96,534.4,20,1.7,4.5
23,100.0,765.0,16,0.685844,1.19,5.65,811.21,3,1.0,4.17
12,100.0,753.35,20,0.93136,1.3,7.74,786.73,20,1.7,4.5
15,0.0,662.28,18,0.87387,1.28,6.9,709.02,12,0.83,4.42
6,100.0,311.92,13,0.884112,1.38,7.18,453.05,7,0.29,1.5
12,83.33,637.25,4,0.504506,1.25,0.0,511.88,4,0.0,0.0
70,35.71,551.77,13,0.884112,1.38,7.18,657.04,7,0.29,1.5
12,100.0,621.25,8,0.637799,1.12,6.5,836.32,4,0.0,1.25
3,0.0,913.5,2,0.71007,1.0,0.0,676.63,4,0.0,0.75
